,Unnamed: 0,Participant,Task,Trial,Cosine Error,Static Cosine Error,Moving Cosine Error,Euclidean Error,Static Euclidean Error,Moving Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit,Recalibrated_Euclidean Error,Recalibrated_Static Euclidean Error,Recalibrated_Moving Euclidean Error,Recalibrated_Spatial Precision_Transition,Recalibrated_Spatial Precision_Fixation,Recalibrated_Spatial Precision_Pursuit
87,2023-08-04 11:32:56,p09,screenStabilized_walking,1,3.2765446135188894,3.458678356527825,3.2220558482973805,6.139394606114825,8.247119335606854,5.50882875906458,,,,10.291418704141776,13.086409052859802,9.455244306187357,,,
88,2023-08-04 11:55:20,p09,screenStabilized_walking,2,3.6804709989730666,3.709176170309026,3.671914458637181,6.712617052842528,5.519505903742406,7.068263899641941,,,,10.129328527354918,8.161625315702155,10.715868551885908,,,
89,2023-08-04 11:35:53,p09,worldStabilized_bodyConstrained,1,1.9992248788746712,1.9859254974598692,2.0032036411815928,2.1758059112999804,2.276666350356765,2.1456315971223274,,,,2.9207991781696254,3.3092456433830733,2.8045880473024454,,,
90,2023-08-04 11:57:46,p09,worldStabilized_bodyConstrained,2,2.6620353468860465,2.581240487689375,2.686206662102779,2.955206281152348,3.0088587954174097,2.9391551134497806,,,,3.9162893685622095,4.36865943288086,3.780954280067987,,,
91,2023-08-04 11:19:23,p09,worldStabilized_sphere,1,2.1443634202027577,1.539227782797635,2.8625463744857607,3.1313808429872303,1.97173736398714,4.507661015866458,,,,8.23050269438942,7.383723394314503,9.235471534038773,,,
92,2023-08-04 11:42:41,p09,worldStabilized_sphere,2,2.699810721807552,2.1766576257788266,3.320866334570424,3.649734596907197,2.7497073145193003,4.7181923764938185,,,,8.618896458251426,8.010570101202415,9.341064598523952,,,
93,2023-08-04 11:27:37,p09,worldStabilized_sphere_VR,1,2.420518885769701,1.6635205921126208,3.3241241201806613,3.1848162588530387,1.958342839508184,4.648819296735651,,,,7.685352865855327,7.0615270855210985,8.429994227921412,,,
94,2023-08-04 11:50:12,p09,worldStabilized_sphere_VR,2,2.906361459624379,2.1202871390646973,3.8424532732417833,3.8644885892004734,2.596711429556245,5.3742132928253445,,,,8.073350548973842,7.359761109839941,8.92312418333131,,,
95,2023-08-04 11:38:30,p09,worldStabilized_walking,1,4.547560938002729,3.61049676806743,4.829027410537718,8.012322996727002,4.946178891079895,8.933302363337539,,,,11.19350575536918,8.049299304624132,12.13793275088014,,,
96,2023-08-04 11:59:41,p09,worldStabilized_walking,2,5.783630609121851,6.062695928129397,5.699911013419588,8.627709282528196,8.864084447358266,8.556796733079173,,,,11.655170831244732,11.87502036848686,11.589215970072091,,,
97,2023-08-04 12:51:14,p10,calibration,1,2.217877549056674,2.217877549056674,,2.310296036457688,2.310296036457688,,3.104466579588641,0.7732256006569416,,4.090068614995754,4.090068614995754,,2.6615241365346054,0.6600204095824089,
98,2023-08-04 13:17:33,p10,calibration,2,1.80556552800636,1.80556552800636,,1.8951008738003023,1.8951008738003023,,3.110796102266536,0.5127801820975793,,2.890590014141386,2.890590014141386,,2.659613554411848,0.4382974153149963,
99,2023-08-04 12:49:10,p10,screenStabilized_headConstrained,1,2.6463921773439374,2.5988312624510908,2.6606209275057857,2.73575475169878,2.7303588862260373,2.737369027241873,,,0.6248770293583901,3.752135844470675,4.473930514984014,3.536197272682751,,,0.5335935128811298
100,2023-08-04 13:15:49,p10,screenStabilized_headConstrained,2,2.2504823955933477,1.8821086672476528,2.360688386344968,2.3467292375829536,2.0131969758267245,2.4465117424850944,,,0.7064922595937051,3.6084063450226114,4.210447314455663,3.428294365247627,,,0.6050155865382302
101,2023-08-04 12:33:48,p10,screenStabilized_walking,1,8.522511677320363,10.701641727607877,7.8729487830878115,15.680174477386863,22.30945069317339,13.704096067185894,,,,27.96118892066099,35.36790230188432,25.7533692542654,,,
102,2023-08-04 13:04:31,p10,screenStabilized_walking,2,5.6815921841291575,7.215843410549072,5.2219552009021095,8.916896757146025,10.621713517938897,8.406161084009742,,,,23.34835005231594,26.315979172106253,22.459296113516068,,,
103,2023-08-04 12:56:49,p10,worldStabilized_bodyConstrained,1,1.7378221770611548,1.721807364596727,1.742613312092064,1.92052893560408,1.872375696110424,1.934934890909661,,,,5.533535790968631,6.648809278977371,5.199880564639146,,,
