Participant,Task,Trial,Cosine Error,Static Cosine Error,Moving Cosine Error,Euclidean Error,Static Euclidean Error,Moving Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit,Recalibrated_Euclidean Error,Recalibrated_Static Euclidean Error,Recalibrated_Moving Euclidean Error,Recalibrated_Spatial Precision_Transition,Recalibrated_Spatial Precision_Fixation,Recalibrated_Spatial Precision_Pursuit
p11,worldStabilized_sphere,1.5,3.838096649451371,3.2501856231590254,4.535790019160848,4.797826136074876,3.7425559971991396,6.050151210105184,,,,14.459858538605936,14.24754984787143,14.71181697831979,,,
p11,worldStabilized_sphere_VR,1.5,3.5446989515962106,2.8488255395361075,4.372937717353395,4.479786041295564,3.244107961623998,5.9505135935093305,,,,14.591527849789479,14.272170050376879,14.971638488707882,,,
p11,worldStabilized_walking,1.5,4.597944787980452,5.947285624112325,4.19448802480416,7.715183498042085,8.139038367246176,7.587893425770101,,,,18.491100844005608,17.820361875497937,18.691263951699895,,,
p12,calibration,1.5,5.38552958906532,5.38552958906532,,5.787128185316467,5.787128185316467,,2.284832075871585,1.6649189126662647,,7.077592663243675,7.077592663243675,,1.9708059639657018,1.4368981712186235,
p12,screenStabilized_headConstrained,1.5,5.46625907943084,4.501410855926336,5.754481685406485,5.746918358193123,4.930434836098959,5.990834133489345,,,1.4651512067712908,6.478974227352602,6.669822748818424,6.421917617896026,,,1.26623372968634
p12,screenStabilized_walking,1.5,7.443257433221371,8.410827358097333,7.153748958524096,10.89598278401777,9.6184345787339,11.278327342051924,,,,21.783378696316486,21.295978951534053,21.929277143404025,,,
p12,worldStabilized_bodyConstrained,1.5,4.929267558289531,4.180957352665054,5.152518608964759,5.516819314928344,4.91073594848477,5.69762100597756,,,,7.359699464445365,7.685571290311923,7.262363579718634,,,
p12,worldStabilized_sphere,1.5,6.419975269953335,6.589432432886419,6.218766498486723,8.489774773759866,8.446517608760573,8.541107819277423,,,,19.826220305728185,20.003840688446374,19.615336227269648,,,
p12,worldStabilized_sphere_VR,1.5,5.982332621915898,6.4592567915233605,5.41534621740977,7.67980993367283,7.816306404555062,7.517569123002066,,,,19.141472486019296,19.58050434157225,18.619513026816037,,,
p12,worldStabilized_walking,1.5,8.94893680104327,8.233835728955556,9.16297167158038,14.132142398927968,17.232940710701342,13.204051264503423,,,,26.016592664499115,28.061410559378974,25.40456402898773,,,
p13,calibration,1.5,2.729634046545484,2.729634046545484,,2.9081056131067937,2.9081056131067937,,2.6796913708708985,1.610611122988682,,3.3676670793937196,3.3676670793937196,,2.5582387548648624,1.53230284812411,
p13,screenStabilized_headConstrained,1.5,3.086923050162947,3.321305422511943,3.0168031160529987,3.181324510868653,3.4768593363774354,3.0929096600239205,,,1.942669745840041,3.303585127509616,3.8809837263167375,3.1308453804980667,,,1.8384634842389733
p13,screenStabilized_walking,1.5,3.51738508403884,3.4303728332062766,3.5433674812699962,5.372771217969051,4.081849836849312,5.757856397795174,,,,9.314721802043426,8.36491252275075,9.59793913630802,,,
p13,worldStabilized_bodyConstrained,1.5,2.8008670426928792,3.039013050582213,2.7296211455957935,3.0464918225947732,3.3803585210581106,2.946609264605741,,,,3.4634751830320916,3.905340124325803,3.331282901426216,,,
p13,worldStabilized_sphere,1.5,3.35728629198468,2.833455197107921,3.978975943047209,4.504326453304898,3.513280837941929,5.6805124583510604,,,,8.244674999685325,7.711649339067097,8.877276882616847,,,
p13,worldStabilized_sphere_VR,1.5,3.596386440547951,3.2149570362402384,4.050465597661001,4.805467319552479,4.071873377887192,5.678797853106188,,,,8.241808506512022,7.942625714224169,8.598011219870184,,,
p13,worldStabilized_walking,1.5,5.516838577242099,5.708263596077555,5.459559196400916,9.572426741170108,10.195737980185225,9.385855579376727,,,,12.418447323233593,13.038067180127449,12.23297993418991,,,
p15,calibration,1.5,1.8290548723338116,1.8290548723338116,,1.9017196693812877,1.9017196693812877,,2.9427947748238292,0.5560126944465397,,4.026491916333536,4.026491916333536,,2.5602094666754702,0.4814771870266431,
p15,screenStabilized_headConstrained,1.5,2.2155420214655615,1.9470583631311837,2.295864002352301,2.291526146731222,2.042303914238154,2.3660857065906438,,,0.6744624275998273,3.686813320244907,4.2127238456038,3.5294772073951544,,,0.5858306196819767
p15,screenStabilized_walking,1.5,3.229023332103318,3.501722092141044,3.1477084237504096,6.029619899839107,4.822789486766801,6.389420977725697,,,,19.332756572114583,18.265928730417002,19.65082857194588,,,
p15,worldStabilized_bodyConstrained,1.5,1.67146253846638,1.6548613083038557,1.6763125207977296,1.8834738680684966,1.9412201288612614,1.8660915094261674,,,,5.2033676491897625,6.326075275918728,4.868149819550119,,,
p15,worldStabilized_sphere,1.5,2.473072578308836,1.8005722206984278,3.2711842266829736,3.29103844992975,2.2546763208547658,4.520971833326207,,,,17.35282902353879,17.244326118887408,17.481581171629255,,,
